# high-temperature limit
# R: 7.5e-05 m
# omegap: 9 eV
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T), F_plasma/(kB*T), F_plasma/F_PFA_plasma
240.38462, -35.619118880259, -69.40339266385, -65.04306771882, 0.9594608836963
241.93548, -35.851848194459, -69.864378383437, -65.450722588407, 0.95964072076996
243.50649, -36.087602276177, -70.331379045477, -65.863411348566, 0.95982093398736
245.09804, -36.326440446842, -70.804512805469, -66.281227946654, 0.96000152626786
246.71053, -36.56842358912, -71.283900933102, -66.704268690645, 0.96018250057567
248.34437, -36.813614198614, -71.769667910986, -67.132632323694, 0.96036385991605
250, -37.062076437628, -72.261941546249, -67.566420102227, 0.96054560734091
251.67785, -37.313876191103, -72.760853080422, -68.005735876584, 0.9607277459478
253.37838, -37.569081124817, -73.266537304614, -68.450686174907, 0.96091027888038
255.10204, -37.827760745957, -73.779132682095, -68.901380290476, 0.96109320933106
256.84932, -38.089986466191, -74.298781471952, -69.357930372218, 0.96127654053991
258.62069, -38.355831667334, -74.825629863133, -69.8204515192, 0.96146027579875
260.41667, -38.625371769769, -75.359828107847, -70.289061878468, 0.96164441844949
262.23776, -38.898684303721, -75.901530665566, -70.763882747173, 0.961828971887
264.08451, -39.175848983557, -76.450896350738, -71.245038678664, 0.96201393955966
265.95745, -39.456947785238, -77.008088487818, -71.732657593023, 0.96219932497132
267.85714, -39.742065027093, -77.573275071034, -72.226870892003, 0.96238513168139
269.78417, -40.031287454086, -78.146628933842, -72.727813578905, 0.96257136330725
271.73913, -40.324704325738, -78.72832792437, -73.235624383394, 0.96275802352569
273.72263, -40.622407507903, -79.31855508711, -73.750445891463, 0.9629451160733
275.73529, -40.924491568597, -79.917498855564, -74.272424681092, 0.96313264474917
277.77778, -41.231053878077, -80.525353251379, -74.801711463531, 0.96332061341557
279.85075, -41.542194713414, -81.142318093444, -75.338461230798, 0.96350902600056
281.95489, -41.858017367772, -81.768599214635, -75.882833409383, 0.96369788649794
